"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","sample_size","grid_type"
0.2,0.12,300,150,0.362537227527274,0.624930139212706,0.067973048163806,0.218486193019822,0.0474872330308634,0.0557340492028372,9.94784180073817e-05,1.17366385964442,1.17121035486388,0.147967289115501,0.14618241219681,0.20267679099699,0.130342715202338,0.072334075794652,0.101780714716931,0.10116497990766,FALSE,"stable",28,300,"sample_size"
0.2,0.12,300,145,0.360857806424437,0.625038645158816,0.0626287655198073,0.187226900898579,0.0300826461902349,0.0419527383342422,8.58182271631319e-05,1.39458271286854,1.39061563604305,0.282939627192793,0.280894034209579,0.111853438904441,0.0285475487285258,0.0833058901759153,0.139471599964202,0.138966510468665,FALSE,"stable",29,300,"sample_size"
0.2,0.12,300,163,0.35349102449974,0.690578357140044,0.065419687380711,0.220413397606101,0.0657860476673214,0.0914952821997643,0.000135412207208738,1.3908007160189,1.38794381031472,0.280989728807122,0.279509737664922,0.243085805251342,0.154030890089632,0.0890549151617099,0.192264667837104,0.191757664107089,FALSE,"stable",30,300,"sample_size"
0,0.12,600,304,0.5,0.5,0,0,0,0.0149026142078722,0.000105478451424397,Inf,141.285864616184,0.999999999999,0.992922151110328,0.15291686512854,0.0624524195988638,0.0904644455296766,NA,0.15931561394928,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",1,600,"sample_size"
0,0.12,600,304,0.5,0.5,0,0,0,0.0146222040154359,0.000105478451424397,Inf,138.62740510479,0.999999999999,0.992786419112122,0.0938227828533084,0.0129748315267135,0.0808479513265948,NA,0.154991047011576,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",2,600,"sample_size"
0,0.12,600,299,0.5,0.5,0,0,0,0.0140216296931293,9.86755113078222e-05,Inf,142.098373824365,0.999999999999,0.992962621787382,0.107382153133416,0.00526119230447009,0.102120960828946,NA,0.163369409041353,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",3,600,"sample_size"
0,0.12,600,309,0.5,0.5,0,0,0,0.0168720465029266,0.000112753746413009,Inf,149.636238614419,0.999999999999,0.99331712685871,0.241821056800012,0.161037865577396,0.0807831912226157,NA,0.168401731638072,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",4,600,"sample_size"
0,0.12,600,309,0.5,0.5,0,0,0,0.0162179010539473,0.000112753746413009,Inf,143.834697913649,0.999999999999,0.993047574649892,-0.036460100141647,-0.12803785845166,0.091577758310013,NA,0.16382256488694,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",5,600,"sample_size"
0,0.12,600,315,0.5,0.5,0,0,0,0.0166368625499505,0.000122160664819945,Inf,136.188375975786,0.999999999999,0.992657229423326,0.145997770218865,0.0591144313689228,0.0868833388499421,NA,0.169235683521839,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",6,600,"sample_size"
0,0.12,600,297,0.5,0.5,0,0,0,0.0121723721611174,9.60788158023723e-05,Inf,126.691529859768,0.999999999999,0.992106812498777,0.00744645670818822,-0.0758548305211495,0.0833012872293377,NA,0.146191632909468,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",7,600,"sample_size"
0,0.12,600,289,0.5,0.5,0,0,0,0.0114697521673486,8.63524984233e-05,Inf,132.824786506163,0.999999999999,0.99247128471798,0.174018910013213,0.0949035956689303,0.0791153143442827,NA,0.134286082532918,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",8,600,"sample_size"
0,0.12,600,309,0.5,0.5,0,0,0,0.0154244506195599,0.000112753746413009,Inf,136.797677330039,0.999999999999,0.992689934364986,0.037733557694122,-0.0376168795329286,0.0753504372270506,NA,0.149043673447332,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",9,600,"sample_size"
0,0.12,600,302,0.5,0.5,0,0,0,0.0179799877116302,0.000102702580964821,Inf,175.068508918864,0.999999999999,0.994287950436229,0.0599713677264275,-0.0464657480138906,0.106437115740318,NA,0.181352128501661,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",10,600,"sample_size"
0,0.12,600,313,0.5,0.5,0,0,0,0.0173435115383049,0.000118939164005876,Inf,145.818340689262,0.999999999999,0.993142152110131,0.0965989072874476,0.0103138807576439,0.0862850265298036,NA,0.167071213753957,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",11,600,"sample_size"
0,0.12,600,306,0.5,0.5,0,0,0,0.0152856302841663,0.000108329862557268,Inf,141.102646337113,0.999999999999,0.992912960699469,0.121069739217241,0.0485069304639403,0.0725628087533011,NA,0.15907912860249,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",12,600,"sample_size"
0,0.12,600,281,0.5,0.5,0,0,0,0.0119289078822288,7.75945598018888e-05,Inf,153.733817327983,0.999999999999,0.993495250313946,0.116840918408941,0.0297789090661695,0.0870620093427714,NA,0.137833454948136,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",13,600,"sample_size"
0,0.12,600,282,0.5,0.5,0,0,0,0.0112509683759176,7.86400854396582e-05,Inf,143.069127061805,0.999999999999,0.993010371835372,0.133581463255986,0.0422141150178499,0.0913673482381364,NA,0.133656554707369,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",14,600,"sample_size"
0,0.12,600,296,0.5,0.5,0,0,0,0.01208223219657,9.48060941828255e-05,Inf,127.44151418442,0.999999999999,0.992153263350646,0.0978951624841959,0.00368909158936592,0.09420607089483,NA,0.146691235556244,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",15,600,"sample_size"
