"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","epsilon_fraction","grid_type"
0.001,0.12,1800,920,0.499260404668018,0.500798320285517,0.000326175483621904,0.000993978698261679,1.07975908171828e-06,0.0144657722360911,1.09288058569911e-06,13397.2221035371,6658.15526294175,0.999925357660545,0.999849808248605,0.223202999406197,0.141683540021636,0.0815194593845614,0.148792072534475,0.148786451431934,TRUE,"unstable_good_overlap_warning",7,1e-06,"epsilon_fraction"
0.001,0.12,1800,895,0.499014279679681,0.500813789774363,0.000356631586463096,0.0010441693438295,1.06636651582577e-06,0.0147446273746858,9.78058029390007e-07,13826.9789569189,7212.11619631069,0.999927677621907,0.999861344441384,0.239889813386519,0.147575586157855,0.0923142272286647,0.153165771390316,0.15316069095222,TRUE,"unstable_good_overlap_warning",8,1e-06,"epsilon_fraction"
0.001,0.12,1800,897,0.49917195502934,0.50082584236483,0.000359753684215758,0.000997011115314002,9.80829758865363e-07,0.0147000852291147,9.86719324633251e-07,14987.3972483461,7471.26735104146,0.999933277274004,0.999866153899598,0.130404886582627,0.0433117175421922,0.0870931690404351,0.145700462883964,0.145695572522256,TRUE,"unstable_good_overlap_warning",9,1e-06,"epsilon_fraction"
0.001,0.12,1800,881,0.499236783452355,0.500724499998471,0.000338705344788692,0.00101306241757099,9.4315726088394e-07,0.0137111603054478,9.18991943258373e-07,14537.5123259906,7363.08362130574,0.999931212440095,0.999864187336253,0.128175944397761,0.0366683060667437,0.0915076383310172,0.148407891825734,0.14840291787308,TRUE,"unstable_good_overlap_warning",10,1e-06,"epsilon_fraction"
0.001,0.12,1800,914,0.499212759514842,0.500981566269585,0.00033145401355994,0.00100152830328085,1.06750936910764e-06,0.0162025099392832,1.06425387793164e-06,15177.8620480187,7600.52034942726,0.99993411456786,0.999868430060835,0.0503698051292398,-0.0392566306997419,0.0896264358289818,0.15377193256341,0.153766881930992,TRUE,"unstable_good_overlap_warning",11,1e-06,"epsilon_fraction"
0.001,0.12,1800,902,0.499237570864214,0.500869292990225,0.00034233752768642,0.00102058528836761,1.051004268722e-06,0.0151623512480652,1.00903416772832e-06,14426.5363132181,7360.22735293796,0.999930683292352,0.999864134631711,0.113444287951605,0.0153604130926313,0.0980838748589741,0.157673592533084,0.157668345598827,TRUE,"unstable_good_overlap_warning",12,1e-06,"epsilon_fraction"
0.001,0.12,1800,896,0.499178907963556,0.500848134246467,0.000344153492613797,0.00103023688580232,1.04271877884676e-06,0.0144023022091105,9.82410521598076e-07,13812.2593562949,7111.79390172614,0.999927600548599,0.999859388501155,0.0980375629817394,0.0120162830334181,0.0860212799483213,0.148117673626486,0.148112621469637,TRUE,"unstable_good_overlap_warning",13,1e-06,"epsilon_fraction"
0.001,0.12,1800,888,0.499233211448226,0.500801114387266,0.000344883804282048,0.00100979731067987,9.66784021709379e-07,0.0128327254853431,9.4811505911913e-07,13273.6218195389,6701.51529854559,0.999924662611788,0.999850780016839,0.164635154765182,0.079189830677963,0.0854453240872186,0.139140676417178,0.139135535897884,TRUE,"unstable_good_overlap_warning",14,1e-06,"epsilon_fraction"
0.001,0.12,1800,921,0.499183555072701,0.501068349559893,0.000335399354700838,0.00101979907617335,1.14176334042787e-06,0.0161221794470381,1.09785975770999e-06,14120.421348435,7198.61277571344,0.999929180583545,0.999861084346227,0.0234257846987624,-0.0687304792720543,0.0921562639708168,0.160507895021855,0.160502429549894,TRUE,"unstable_good_overlap_warning",15,1e-06,"epsilon_fraction"
0.001,0.12,1800,907,0.499138103952432,0.500865454764615,0.000349638834601651,0.00099394303451561,1.01927566838654e-06,0.0140943760628279,1.0317361983398e-06,13827.8352951744,6871.91346451065,0.99992768210073,0.999854480123307,0.0655288957088102,-0.0225479686202077,0.0880768643290178,0.145271299553867,0.145265981998815,TRUE,"unstable_good_overlap_warning",16,1e-06,"epsilon_fraction"
0.001,0.12,1800,889,0.499179591247101,0.500912176577236,0.000344970656969201,0.00104529024649537,1.04046927392197e-06,0.0146296042671645,9.52259827786296e-07,14060.5826945945,7341.49175350694,0.999928879192156,0.999863787901209,0.0746617226418527,-0.0180404789572099,0.0927022015990626,0.14860501890502,0.148600182036016,TRUE,"unstable_good_overlap_warning",17,1e-06,"epsilon_fraction"
0.001,0.12,1800,885,0.499044784343993,0.50088467106325,0.000332669422105025,0.000955137547754595,8.53424894318323e-07,0.0122742045614594,9.35477768092641e-07,14382.2902790567,6861.30375865003,0.999930470044715,0.999854255104398,0.00788348404992079,-0.0725033206944977,0.0803868047444185,0.13396612541982,0.133961019857427,TRUE,"unstable_good_overlap_warning",18,1e-06,"epsilon_fraction"
0.001,0.12,1800,881,0.499073747018304,0.500761592207911,0.000341956746159666,0.00100503279156496,9.28211406350717e-07,0.0126817929941835,9.18938478915506e-07,13662.6127490097,6865.60040164568,0.999926807557356,0.999854346314743,0.188203947202213,0.105558136479727,0.0826458107224862,0.140867948018913,0.140862843819545,TRUE,"unstable_good_overlap_warning",19,1e-06,"epsilon_fraction"
0.001,0.12,1800,888,0.499119850111614,0.50084419972919,0.000329525312609324,0.000961562016746671,8.76625896985893e-07,0.01416493212309,9.48112117016047e-07,16158.4687057425,7762.72101222031,0.999938112947569,0.999871179191108,0.06822948472109,-0.0195928996572472,0.0878223843783372,0.142126923562136,0.142122166643687,TRUE,"unstable_good_overlap_warning",20,1e-06,"epsilon_fraction"
0.001,0.12,1800,924,0.499205208637766,0.500809478385333,0.00034852670811264,0.00100769715923471,1.12970375281312e-06,0.015858113243736,1.11251148457372e-06,14037.4086606751,7072.52050530959,0.999928761780456,0.999858607691664,0.11988773115657,0.0276412922064124,0.0922464389501573,0.159652990560131,0.159647389907868,TRUE,"unstable_good_overlap_warning",21,1e-06,"epsilon_fraction"
0.001,0.12,1800,895,0.499218238402346,0.500817290835502,0.000333469334322378,0.00100360669826553,9.85129814079972e-07,0.0146045983255206,9.78061942560201e-07,14825.0495688836,7439.21131296675,0.999932546599905,0.999865577148177,0.0960368326263922,0.00872385868596615,0.087312973940426,0.152591616820323,0.152586506901668,TRUE,"unstable_good_overlap_warning",22,1e-06,"epsilon_fraction"
0.001,0.12,1800,900,0.499202495748476,0.500841132743804,0.000360848686094373,0.000979148272746199,9.58720908225778e-07,0.0143001108187393,9.99989119166494e-07,14915.8224213586,7300.77991063219,0.999932957099397,0.999863028332282,0.203594805419714,0.115192533859338,0.0884022715603768,0.149017261066543,0.149012050329439,TRUE,"unstable_good_overlap_warning",23,1e-06,"epsilon_fraction"
0.001,0.12,1800,862,0.499145857615381,0.500975782667296,0.000329171437479348,0.000992531645980858,8.31987811425508e-07,0.0133345010670075,8.44555585431574e-07,16027.2793469901,7953.56749607851,0.999937606378578,0.99987427025665,0.124943661168469,0.0208094076828487,0.10413425348562,0.150683287113771,0.150678514892885,TRUE,"unstable_good_overlap_warning",24,1e-06,"epsilon_fraction"
0.001,0.12,1800,927,0.499187688682884,0.500821702605246,0.000326263935753079,0.000969676168958618,1.0603328959827e-06,0.0159256767392583,1.12768756232019e-06,15019.5064206686,7278.57761970419,0.999933419915942,0.999862610519218,0.19668434551212,0.11353172679135,0.0831526187207698,0.152694862042133,0.152689455470879,TRUE,"unstable_good_overlap_warning",25,1e-06,"epsilon_fraction"
